coef_ml_zscore,coef_ml_shuff_zscore,ml_zscore-ml_shuff_zscore
-0.07332739200379544,-0.005382600323882452,-0.06794479167991299
-0.16139124021725457,-0.04312844058638403,-0.11826279963087054
-0.23309594860709662,0.030170753604745557,-0.2632667022118422
-0.1399190327727152,-0.01687952627336086,-0.12303950649935433
-0.14696858559648338,-0.07968813528592954,-0.06728045031055384
-0.1651835073861955,0.0535597548744185,-0.218743262260614
-0.14658031809144234,-0.0164141172659099,-0.13016620082553243
-0.16689761929559113,-0.027108120858950098,-0.13978949843664104
-0.15483139974183124,0.031036242795630123,-0.18586764253746135
-0.20066906440503082,0.01332838025269517,-0.213997444657726
-0.15632180183348715,0.008998163400305945,-0.1653199652337931
-0.06560241710565,-0.017437807218770265,-0.04816460988687973
-0.15708561199134244,-0.045134337310947396,-0.11195127468039504
-0.14523147065170908,0.0005620656140152701,-0.14579353626572436
-0.16968533458866722,-0.0726042059462615,-0.09708112864240571
-0.12101064140441521,-0.023591112850817435,-0.09741952855359778
-0.14960536207476932,-0.04941929021606312,-0.1001860718587062
-0.1424262070447051,-0.023267128147121677,-0.11915907889758343
-0.2001771459538792,0.04807421478904422,-0.24825136074292342
-0.11971055447262784,0.07200354187193378,-0.1917140963445616
-0.20449195399692333,0.03882859661212812,-0.24332055060905144
-0.1677284675228561,-0.11209663831030267,-0.05563182921255344
-0.14447040708086326,-0.0605522619385156,-0.08391814514234766
-0.217885594947399,0.019304936324823607,-0.23719053127222262
-0.12708293978938137,-0.016495318395031874,-0.1105876213943495
-0.14415756750786185,0.01108980139264351,-0.15524736890050536
-0.09311680662754293,0.05293803036015524,-0.14605483698769817
-0.14726970225007568,-0.02848251888644041,-0.11878718336363528
-0.15192468499079265,0.08081842073780969,-0.23274310572860235
-0.12500186339319094,-9.25918184901995e-05,-0.12490927157470075
-0.11721293080175423,-0.0023156879701318393,-0.11489724283162239
-0.17245380751073985,-0.007274843811739076,-0.16517896369900079
-0.10355715247529095,0.08560814436247585,-0.18916529683776678
-0.12679302148878854,0.06428473651366676,-0.1910777580024553
-0.1506265496819525,0.1075223025223363,-0.2581488522042888
-0.12422530997822315,-0.006804738165169446,-0.1174205718130537
-0.19369868882765795,-0.020451293594222698,-0.17324739523343524
-0.15168990510475852,0.0009451730591510164,-0.15263507816390953
-0.19589860517124896,0.10286219735342575,-0.29876080252467474
-0.23799348779860707,-0.02605397135733577,-0.2119395164412713
-0.18522719477943358,-0.06303790549954263,-0.12218928927989095
-0.11472409579343641,-0.011510273050137812,-0.1032138227432986
-0.10355041258445274,0.015105524006980234,-0.11865593659143298
-0.15575538350141918,-0.03604655214630186,-0.11970883135511731
-0.15648075046966298,0.02320689385918173,-0.1796876443288447
-0.16107489783732692,0.019086780229977045,-0.18016167806730396
-0.16080046679744708,-0.018164213435222766,-0.14263625336222432
-0.1690849413951326,-0.04708442106274333,-0.12200052033238928
-0.20497825304192915,0.014719556286346015,-0.21969780932827518
-0.11859748943919476,0.04174934933627548,-0.16034683877547024
-0.192166762142563,-0.02480643480229785,-0.16736032734026515
-0.18328546828805267,0.0005152985954980722,-0.18380076688355074
-0.16893766606019409,-0.10839770742092443,-0.060539958639269656
-0.19399314228390804,0.02351072294036981,-0.21750386522427786
-0.17108010505111887,0.06348169355724499,-0.23456179860836385
-0.09735230329395211,0.06356496499165004,-0.16091726828560216
-0.15694687399025858,-0.01999829390548204,-0.13694858008477653
-0.1242822360668028,-0.03527991588776451,-0.0890023201790383
-0.1908755312193365,-0.0132283635129925,-0.177647167706344
-0.1613558984106242,0.10947364686968261,-0.2708295452803068
-0.1745657176650775,0.059149664265670636,-0.23371538193074815
-0.13609759974434474,-0.08383551829028518,-0.052262081454059556
-0.09765328012261576,-0.04784372837650927,-0.04980955174610649
-0.07231863260912033,0.026186339991517406,-0.09850497260063773
-0.23986248463018223,0.02552019218052415,-0.2653826768107064
-0.07368646654421668,0.038638008871724805,-0.11232447541594148
-0.1222627037801085,-0.06838291737862738,-0.053879786401481125
-0.09626726477165523,0.007624020194683274,-0.10389128496633851
-0.2005407398793884,0.06538433033215749,-0.2659250702115459
-0.20618408811209524,0.006115078092013449,-0.21229916620410869
-0.09946536060084682,-0.0598776093502188,-0.03958775125062802
-0.20418721939977155,-0.023028317999268858,-0.1811589014005027
-0.16565097090448733,-0.04601881827421062,-0.11963215263027671
-0.17220343017463,0.035559122598828,-0.207762552773458
-0.15026975969534673,-0.00933921183432448,-0.14093054786102224
-0.14216423577014742,0.01040749000306242,-0.15257172577320985
-0.13191854574167758,0.007056178733321895,-0.13897472447499948
-0.1326401472826886,-0.08671638649538548,-0.04592376078730313
-0.19603282178936077,0.07710906683728486,-0.2731418886266456
-0.13708131451468986,-0.0417246609376255,-0.09535665357706435
-0.17263635023819643,0.004125630897654185,-0.17676198113585062
-0.13124371539532567,0.023668745968216654,-0.15491246136354234
-0.12481975286305727,-0.015374926221406954,-0.10944482664165031
-0.14412453096874886,0.011007534000868914,-0.15513206496961776
-0.12295028855527405,0.0073042577737413,-0.13025454632901534
-0.20398360163877208,-0.059081346240028206,-0.14490225539874388
-0.11304896889332318,0.0172161197337917,-0.1302650886271149
-0.1321788686272372,-0.07956080115285145,-0.05261806747438576
-0.1559877415493494,0.14777830529449165,-0.30376604684384106
-0.23714872069670936,-0.11703441566095549,-0.12011430503575388
-0.2640330352514392,-0.028918665733435354,-0.23511436951800382
-0.1119295093733132,-0.06985404360268554,-0.04207546577062765
-0.14716444007631654,0.027826294325571172,-0.17499073440188773
-0.12805039980430502,-0.009074856047256654,-0.11897554375704837
-0.18739265039864028,-0.020814387418347135,-0.16657826298029316
