coef_ml_zscore,coef_ml_shuff_zscore,ml_zscore-ml_shuff_zscore
-0.08655171623001066,0.08384400847052714,-0.17039572470053782
-0.12311580148901133,0.05777887485331351,-0.18089467634232484
-0.17772122564814974,0.008606220071479882,-0.18632744571962961
-0.20090415758663047,0.009604380339028036,-0.2105085379256585
-0.12169844763664045,0.042509207958940795,-0.16420765559558126
-0.11393412141955711,-0.043287766812312715,-0.07064635460724439
-0.16670235680390424,0.06332618477763764,-0.2300285415815419
-0.14264408305990064,0.022604815582221417,-0.16524889864212206
-0.1688936579620631,-0.05733306605163743,-0.11156059191042567
-0.16572077095378487,-0.004336570549126835,-0.16138420040465803
-0.14881897732001295,-0.09718909324655187,-0.051629884073461085
-0.12471329061531218,0.003301991529384043,-0.12801528214469624
-0.1418390171121069,0.02732397660260365,-0.16916299371471055
-0.20782635635987173,-0.030082991836138714,-0.17774336452373302
-0.1786903144807059,-0.03294629645020561,-0.1457440180305003
-0.07185159748533022,-0.012634672538992236,-0.059216924946337984
-0.12379444435271894,-0.047284743529588474,-0.07650970082313047
-0.1703140073592104,-0.033296889751814565,-0.13701711760739582
-0.16086100291717823,0.03605022074553139,-0.1969112236627096
-0.17664386241358054,0.06836032179127977,-0.2450041842048603
-0.21980244721418032,-0.004547980303945349,-0.21525446691023498
-0.13228111829468067,0.03318632930434447,-0.16546744759902515
-0.19438395092970667,0.022397050033500288,-0.21678100096320696
-0.16614651475796038,0.02945011645545092,-0.1955966312134113
-0.1382507588854289,0.03409925016446294,-0.17235000904989184
-0.15037132404014272,-0.026760610943533034,-0.12361071309660969
-0.12962686201849022,0.001541716428423259,-0.1311685784469135
-0.1715345933154848,0.044966296433856315,-0.21650088974934112
-0.10224131367668599,-0.02736636984888898,-0.074874943827797
-0.137531627386076,0.04604914606612298,-0.18358077345219898
-0.1471583736770223,-0.07961432541722378,-0.06754404825979853
-0.068696361108632,-0.03180130692740524,-0.036895054181226766
-0.12310997229362354,-0.016735887319046912,-0.10637408497457662
-0.10442662153961445,-0.0016406474100470736,-0.10278597412956737
-0.17296215909976667,0.018738599998115748,-0.19170075909788242
-0.11741121107426501,0.08698989376669033,-0.20440110484095536
-0.18345708076283374,-0.008668385681698148,-0.1747886950811356
-0.1476340909096772,-0.0012954546437071758,-0.14633863626597002
-0.17531016810021852,0.054260712562688086,-0.2295708806629066
-0.23065056128878292,0.02585531409368941,-0.2565058753824723
-0.16427882296981364,-0.01993607355937959,-0.14434274941043404
-0.15036000480057812,-0.012362425385728716,-0.13799757941484941
