coef_lz_zscore,coef_lz_shuff_zscore,lz_zscore-lz_shuff_zscore
-0.2341835931548696,-0.04944635590247588,-0.18473723725239372
-0.2188837218735942,0.021458679889524376,-0.24034240176311858
-0.27336628964179,0.0008155915026807072,-0.27418188114447073
-0.22476201732807047,0.061994993670871745,-0.28675701099894224
-0.28291054875764976,-0.04152294005238149,-0.24138760870526826
-0.29455738902883494,0.02325665509193378,-0.31781404412076875
-0.25856074037538607,0.03770323266476137,-0.29626397304014745
-0.3229571672840081,-0.0012998935924206775,-0.3216572736915874
-0.27473923280451823,0.021380275375692023,-0.29611950818021027
-0.33825325307188153,-0.005776923013465651,-0.33247633005841587
-0.31571484019619306,-0.03045337067919531,-0.28526146951699777
-0.27436578086273233,0.040559251104315124,-0.31492503196704746
-0.3038872423797135,-0.02208561371119585,-0.28180162866851766
-0.2618451623401032,-0.029151391017456493,-0.23269377132264668
-0.30041964604787225,0.01354369596353558,-0.31396334201140785
-0.30379196476159787,0.07209642788282654,-0.3758883926444244
-0.26397575807116214,0.03712533612211089,-0.301101094193273
-0.28958810658035333,-0.012603576668077057,-0.2769845299122763
-0.29944606335308893,-0.036397001681540635,-0.2630490616715483
-0.3229820187155159,-0.036381093213907555,-0.2866009255016084
-0.2488880319613426,0.007174102051053525,-0.25606213401239614
-0.28870594635262853,0.012359631540336459,-0.301065577892965
-0.28895124294051966,0.009717455037758008,-0.29866869797827766
-0.28257868505898004,0.005717886295339454,-0.2882965713543195
-0.2764852567388607,-0.0030992242562318446,-0.2733860324826289
-0.29027029553272127,-0.01638050480133997,-0.2738897907313813
-0.22675973305469221,-0.049114248050406,-0.17764548500428623
-0.28218973520656015,0.007259823737611174,-0.28944955894417135
-0.2618080774376939,-0.06238508886228387,-0.19942298857541005
-0.28970857315460696,0.04690125394723216,-0.3366098271018391
-0.30568412378513343,-0.021926081297385984,-0.28375804248774744
-0.2843690928544619,-0.024000939992787542,-0.26036815286167436
-0.2775823789004927,-0.03627356759699524,-0.24130881130349746
-0.3117736834690637,-0.016005983199574393,-0.2957677002694893
-0.3311449075007749,-0.034148972606977794,-0.2969959348937971
-0.29277156750453154,-0.015940059774561203,-0.27683150772997034
-0.33609937652895966,-0.0029825021803831448,-0.3331168743485765
-0.2877621400014435,-0.0024438872915007706,-0.28531825270994277
-0.3138148118261145,-0.018127015888942014,-0.2956877959371725
-0.3164663050249061,-0.03954370989677507,-0.276922595128131
-0.2550073092977405,0.0013246818770360452,-0.25633199117477656
-0.2572008260368415,-0.05584739222752364,-0.2013534338093179
-0.2676893737071842,0.03306684091477775,-0.30075621462196195
-0.32246808993167503,0.10025831320953413,-0.42272640314120913
-0.2779241673708599,0.024385216759542538,-0.3023093841304024
-0.2722935161443723,-0.01434297808675089,-0.2579505380576214
-0.2782547634328704,-0.007329047707590935,-0.2709257157252795
-0.28633178654871655,-0.010397373499671465,-0.2759344130490451
-0.2695597627724,0.0199587366909516,-0.2895184994633516
-0.316295279480722,-0.02596141823253096,-0.29033386124819105
-0.21105255680005144,0.026154068615919682,-0.23720662541597112
-0.23045473026963822,-0.02926173389010067,-0.20119299637953755
-0.2270634837873351,-0.010277767214975262,-0.21678571657235984
-0.2441927847740382,-0.06485219509041541,-0.17934058968362276
-0.3141494160395206,0.021074036804192623,-0.33522345284371324
-0.2875397909842718,0.012390457993870216,-0.299930248978142
-0.2619718711539163,0.005038583699534147,-0.26701045485345043
-0.2795822104985672,-0.0017204623351830364,-0.27786174816338416
-0.21362763945512156,0.007397371744512961,-0.22102501119963452
-0.2962772443353207,0.010939805268868081,-0.3072170496041888
-0.2673991747991876,-0.005506010557099905,-0.2618931642420877
-0.29779718156838364,-0.05329871377984845,-0.24449846778853518
-0.311640454749544,-0.08769972337260121,-0.2239407313769428
-0.28678634563714017,0.013546494658487144,-0.3003328402956273
-0.2503582387928017,0.045654101892852184,-0.2960123406856539
-0.27521127395224493,0.07866068776208113,-0.35387196171432606
-0.28183474654627133,-0.017324207219307764,-0.26451053932696356
-0.25909251793789984,0.02347796801720236,-0.2825704859551022
-0.25904368497787383,0.007350458770132339,-0.2663941437480062
