coef_lz_zscore,coef_lz_shuff_zscore,lz_zscore-lz_shuff_zscore
-0.0605144502378477,-0.07254699224602998,0.012032542008182281
-0.10123757980955375,0.07024145120445495,-0.1714790310140087
-0.09292279779619979,0.03727982180989963,-0.1302026196060994
-0.07362670503702236,0.014452447164324918,-0.08807915220134728
-0.06895382833010404,0.06502380317973812,-0.13397763150984215
-0.07587616269941976,0.022388102906591285,-0.09826426560601104
-0.05139925962622604,-0.022864737603229133,-0.028534522022996906
-0.0866691703152985,-0.02293723108223411,-0.06373193923306439
-0.11315478932136538,-0.05742674677827936,-0.055728042543086026
-0.01979847501760276,0.0014409550618778354,-0.021239430079480596
-0.07679278621450938,-0.045488515479576455,-0.03130427073493293
-0.055023980343406324,0.05188193786365977,-0.1069059182070661
-0.1257469005016051,0.01989775959741368,-0.1456446600990188
-0.12124412178775885,0.04105443379570194,-0.1622985555834608
-0.07191324936500011,0.02382808570289412,-0.09574133506789423
-0.05755200919296013,-0.057729000517279555,0.00017699132431942682
-0.05240013479693635,0.03234499278143559,-0.08474512757837194
-0.06765908552619783,0.0029890362730845953,-0.07064812179928243
-0.06852856516243266,0.08060979906870831,-0.14913836423114096
-0.09235987842175958,0.024691308219270916,-0.1170511866410305
-0.04773117305847282,-0.02961437822885691,-0.01811679482961591
-0.04289937434670451,0.002195667297302943,-0.045095041644007454
-0.07321270588680245,-0.0725421347220877,-0.0006705711647147505
-0.06934309797588135,-0.03838020812456574,-0.030962889851315616
-0.10189893619794878,-0.025506637866207306,-0.07639229833174147
-0.03608379466887759,0.038659256876732974,-0.07474305154561056
-0.07194269869647436,-0.027669227402631214,-0.04427347129384315
-0.0020702049844896833,-0.032998916351596214,0.03092871136710653
-0.0721490444428943,0.021818127802419814,-0.09396717224531412
-0.05841579413651633,0.01752317904940532,-0.07593897318592166
-0.07727374053067536,-0.004894963727210511,-0.07237877680346484
-0.11557986201125799,-0.007693936955431904,-0.10788592505582609
-0.04071963506496405,-0.04288733729042814,0.0021677022254640854
-0.10339361791758417,-0.04884975461020658,-0.05454386330737759
-0.07143302370075981,-0.03513348668205793,-0.03629953701870188
-0.0564861800905331,-0.008498109728324588,-0.04798807036220851
-0.09319426965561708,0.0007894925149258101,-0.0939837621705429
-0.09041675833732975,0.02558763393546858,-0.11600439227279832
-0.13686548984549457,1.668805544947452e-05,-0.13688217790094404
-0.093965538375762,0.05131006121745161,-0.14527559959321362
-0.04214769502614854,-0.07507295205091252,0.03292525702476398
-0.13218670315419975,0.009940863608781879,-0.14212756676298163
-0.05366239463159995,-0.02438123047739022,-0.029281164154209727
0.020351604584949872,0.011748541186305974,0.008603063398643898
-0.09860386328073881,0.01756467051598681,-0.11616853379672562
-0.08961974085417508,-0.01069013906794274,-0.07892960178623235
-0.044294291022555145,-0.004922166445627174,-0.03937212457692797
-0.07344084281953957,-0.013430173283947047,-0.06001066953559252
-0.042955939110245256,-0.019402285197368783,-0.023553653912876473
-0.09967450356841022,-0.007114202684855181,-0.09256030088355503
-0.053032586416716786,-0.037166520025222326,-0.01586606639149446
-0.08039699808853105,-0.02568917297684515,-0.054707825111685905
-0.04853902693930009,-0.042311574370416306,-0.006227452568883782
-0.05874853140032155,0.02437529769785696,-0.08312382909817852
-0.08419696151742796,-0.06275662115709679,-0.02144034036033117
-0.08560139471136403,-0.01638287296191803,-0.06921852174944601
-0.13927658295877524,-0.05974948308734736,-0.07952709987142788
-0.11725075499437541,-0.017707991392183993,-0.09954276360219141
-0.1113664606189092,0.04150333427951455,-0.15286979489842376
-0.06745365703489158,0.04652662513791737,-0.11398028217280895
-0.08588268798542688,-0.06806483740454647,-0.01781785058088041
-0.055333317342215915,-0.0014717245657680734,-0.05386159277644784
-0.10976718380498499,0.05686380737253905,-0.16663099117752403
-0.06404196446235419,0.06147298463069329,-0.12551494909304747
-0.11047826191407778,0.020095896094840474,-0.13057415800891825
-0.03646286077959479,-0.008684351395028914,-0.02777850938456588
-0.071320839040129,0.023223198657293213,-0.0945440376974222
-0.030206905674362537,-0.03042907889216271,0.00022217321780017285
-0.05913209621681706,-0.0263747609451174,-0.03275733527169966
-0.046514848721743086,-0.027420892592606015,-0.01909395612913707
-0.09134971295110049,0.04562671265074713,-0.1369764256018476
-0.08866875622414987,0.004409452737666807,-0.09307820896181668
-0.0600903473392742,0.018049988935890608,-0.07814033627516481
-0.10337610701848125,-0.0013752903939675115,-0.10200081662451374
-0.013938618392975395,-0.061217509265996804,0.04727889087302141
-0.025878468578888546,0.02997584780576514,-0.055854316384653685
-0.10797458765104667,-0.0031359921806642724,-0.1048385954703824
-0.027929339339968474,-0.026213637907348906,-0.0017157014326195687
-0.05881467441162397,-0.032480982268835265,-0.026333692142788703
-0.07613833983387319,0.04099393724268541,-0.1171322770765586
-0.03010255228919719,-0.050135858580177675,0.020033306290980483
-0.11654335471170135,-0.05545422227920693,-0.06108913243249442
-0.046869756696786335,-0.008166027360175273,-0.038703729336611065
-0.06042327174305674,-0.017335213951613807,-0.04308805779144294
-0.08570852676249072,0.029674026377057655,-0.11538255313954837
-0.07814608177913979,0.06363585944433581,-0.1417819412234756
-0.036253766712018125,-0.017321963515024755,-0.01893180319699337
-0.06075565103970209,0.002579289828632683,-0.06333494086833477
-0.0406189745827037,-0.003184775982845699,-0.037434198599858
-0.07881511635245698,-0.01674567108779763,-0.06206944526465935
-0.052367442561240825,-0.02124071345145314,-0.031126729109787685
