coef_ml_zscore,coef_ml_shuff_zscore,ml_zscore-ml_shuff_zscore
-0.48108695605000207,-0.018192099255357537,-0.46289485679464454
-0.45775457078229076,0.0032415656369361506,-0.46099613641922693
-0.40488872320173364,0.06917914764649387,-0.4740678708482275
-0.510605047159341,-0.021474478488009263,-0.4891305686713317
-0.488607282751015,0.03389268965375591,-0.5224999724047709
-0.5275267632921344,-0.10702983280882866,-0.4204969304833058
-0.48589454375868585,0.04336729359394523,-0.5292618373526311
-0.44629891913716885,0.008669678107207278,-0.4549685972443761
-0.48957266468653715,-0.0013623236918707102,-0.4882103409946664
-0.4197794979152413,-0.07651742157869107,-0.3432620763365502
-0.4471225375558756,-0.0027739288856964335,-0.44434860867017917
-0.48479681192720614,0.15380768070015033,-0.6386044926273564
-0.4716805445188074,-0.009443737228718978,-0.4622368072900884
-0.45311989401499275,-0.08627812785364675,-0.366841766161346
-0.43479410441330746,-0.056477383590849604,-0.3783167208224579
-0.4916118870549795,-0.035241819207539334,-0.45637006784744016
-0.5145242733095693,-0.01921388997124468,-0.4953103833383246
-0.48998076580689265,-0.12372345265204403,-0.3662573131548486
-0.48299349979576117,-0.014164981825414806,-0.46882851797034636
-0.4757965198846422,0.025322776368009194,-0.5011192962526514
-0.4497812309906263,0.051297851324869866,-0.5010790823154961
-0.4465736203936386,0.06289537981162156,-0.5094690002052602
-0.4990282050320548,0.07931608355694661,-0.5783442885890014
-0.5436199417367641,0.015226459100910163,-0.5588464008376742
-0.44833422713613813,0.0031531890201571544,-0.4514874161562953
-0.3835395496728433,0.08090012687885532,-0.46443967655169865
-0.48937969403437226,-0.015177474563461095,-0.4742022194709112
-0.4922684934228312,0.062014929670193016,-0.5542834230930243
-0.4723000737767328,-0.019131851571191513,-0.45316822220554126
-0.43230103423599053,0.038130579922646235,-0.47043161415863677
-0.4154313165507589,0.04793398935234545,-0.4633653059031043
-0.5477847224648676,0.045664112792668486,-0.5934488352575361
-0.42100626397968305,0.057423337138324815,-0.47842960111800786
-0.4819693392669059,-0.038084148245667346,-0.4438851910212385
-0.47894147586905383,0.03573743289896351,-0.5146789087680174
-0.43506625452423664,-0.0720290776645046,-0.363037176859732
-0.3948464659281997,-0.07746367969421782,-0.3173827862339819
-0.4294237007444139,0.016807916558009284,-0.44623161730242317
-0.4733156365970912,0.05850690045890333,-0.5318225370559946
-0.5004689749883693,0.07126718475426204,-0.5717361597426314
-0.4739334207146071,-0.05758364937767253,-0.41634977133693457
-0.48694737930274606,-0.021119524560446693,-0.4658278547422994
-0.4238970488365399,0.01701191355571859,-0.44090896239225846
-0.4426407960182379,-0.030063999804069094,-0.4125767962141688
-0.5752446777448033,-0.05322932786874252,-0.5220153498760607
-0.43094919078660576,0.06722508464998836,-0.4981742754365941
-0.4313311353880996,0.06956803500720783,-0.5008991703953074
-0.43500512737192937,0.01849153785776698,-0.45349666522969634
-0.4838374854086791,-0.07825974730143423,-0.40557773810724485
-0.46828941313064365,0.07843294039057329,-0.5467223535212169
-0.5163940085450207,-0.022606124581625874,-0.49378788396339485
-0.46673861070789757,-0.01980821100300266,-0.4469303997048949
-0.4595654927906795,0.027068599339410707,-0.4866340921300902
-0.4835083101164089,-0.09116973729697728,-0.39233857281943163
-0.4778751434822618,-0.01685272078356452,-0.46102242269869725
-0.4832462144902313,0.02452056501169755,-0.5077667795019288
-0.5138993279015417,-0.033261539986478836,-0.48063778791506284
-0.45129474552233223,0.03443440830475648,-0.4857291538270887
-0.5647254754374086,0.00981002808124642,-0.574535503518655
-0.49045497020738177,0.025861011317027907,-0.5163159815244097
-0.43592453038753487,0.003340773070803317,-0.4392653034583382
-0.4751533568060268,-0.06238154515932001,-0.41277181164670684
-0.45509193207091453,0.06871160119554812,-0.5238035332664627
-0.5136274765762807,-0.027895166356540515,-0.4857323102197402
-0.4788322453466448,0.027834236606426744,-0.5066664819530715
-0.43069847045469806,0.14181612518057224,-0.5725145956352703
-0.5019133526969832,-0.06324689367231498,-0.4386664590246683
-0.4655150593767212,-0.09123251263565368,-0.37428254674106753
-0.3487453905630924,0.0881838813196411,-0.4369292718827335
-0.5145741273948377,0.13375332893648462,-0.6483274563313223
-0.48065469345334527,-0.0009955983835720633,-0.4796590950697732
-0.5112093897923781,0.014585572962487366,-0.5257949627548655
-0.42274548838053855,-0.01298416137403319,-0.40976132700650536
-0.43971250815246765,-0.06335894194355658,-0.3763535662089111
-0.45996525259429155,-0.0014282917540129796,-0.45853696084027856
-0.39666086263826406,0.010105489054753475,-0.40676635169301756
-0.45673695919125035,-0.06480902528927739,-0.39192793390197295
-0.5368121186710135,-0.03307065265174615,-0.5037414660192674
-0.4681474254099183,0.05295552997723231,-0.5211029553871507
-0.42962909982785785,-0.08033389410945697,-0.3492952057184009
-0.4672491088966228,-0.1265964189999809,-0.3406526898966419
-0.5049413643384393,-0.058636050858508294,-0.44630531347993097
-0.41627192227859644,0.10024272825994135,-0.5165146505385378
-0.45786082311959025,0.041440155521118,-0.49930097864070827
-0.4399619455783441,0.015524838707555846,-0.45548678428589995
-0.5206846648470809,-0.028811124032985896,-0.49187354081409496
-0.4679463221667065,-0.10643967675087829,-0.3615066454158282
-0.4357094947536227,-0.004585783167596488,-0.4311237115860262
-0.46936531933008463,-0.0328964859385861,-0.43646883339149856
-0.43686934315545667,-0.04602089187781255,-0.3908484512776441
-0.468756153048632,0.038252287847913735,-0.5070084408965457
-0.4143974908776161,-0.010927862328272003,-0.4034696285493441
-0.49058297266595224,0.05812048787035761,-0.5487034605363098
-0.4818535267925552,0.026657203446661944,-0.5085107302392171
-0.4727766498027041,-0.05321745355753806,-0.4195591962451661
-0.4926625823285968,-0.05653264632166387,-0.4361299360069329
-0.5053865406426745,-0.00022212747367994767,-0.5051644131689945
-0.45155340452260834,-0.05726121783819025,-0.39429218668441807
-0.4801656097096352,-0.055597394325772785,-0.4245682153838624
-0.4717396433631948,-0.03556906585173686,-0.43617057751145794
-0.40049303875009706,0.02967513384552046,-0.4301681725956175
-0.5535699656470333,0.007325641188417506,-0.5608956068354508
-0.4512438400255002,0.05133817165497811,-0.5025820116804783
-0.486006011464684,-0.018288738547161423,-0.4677172729175226
-0.5336964349189796,0.0437246145453583,-0.5774210494643378
-0.38945624960793895,0.0516556413607569,-0.44111189096869585
-0.48663643414127566,-0.026725736780653517,-0.4599106973606221
-0.44723888253226945,-0.024142757169580673,-0.42309612536268876
-0.42399990947313515,0.003630430820851973,-0.4276303402939871
-0.4647547278342728,-0.0943719087112726,-0.3703828191230002
-0.4988374749703161,-0.036392741098856256,-0.46244473387145985
-0.46586841097073606,-0.07178977629743781,-0.39407863467329823
-0.4808588719130951,-0.04918264292214117,-0.4316762289909539
-0.4930009991768374,-0.032362634989612254,-0.46063836418722515
-0.48099497795950735,0.10944668240567956,-0.590441660365187
-0.4924539978243949,-0.07683643973171331,-0.41561755809268164
