coef_lz_mean_zscore,coef_lz_mean_shuff_zscore,lz_mean_zscore-lz_mean_shuff_zscore
-0.3955727418325274,-0.0007088934876077434,-0.39486384834491967
-0.3930313439061274,-0.002381029525709125,-0.39065031438041825
-0.34695086239191997,-0.07002926429550568,-0.27692159809641426
-0.31364925160783286,0.033747619452110286,-0.34739687105994316
-0.3284018453391895,-0.012607846274532826,-0.31579399906465666
-0.323481360621008,-0.06553437039739678,-0.2579469902236112
-0.3230800353968888,-0.045754151601148714,-0.2773258837957401
-0.24236677608675938,0.039246341379675136,-0.2816131174664345
-0.3552112356905814,-0.040030473874748604,-0.31518076181583277
-0.3308201657428228,-0.02705831461478188,-0.30376185112804094
-0.3449991272459367,-0.013934652603356232,-0.33106447464258043
-0.3099040461811479,-0.0019161015828447548,-0.30798794459830314
-0.32452866895122656,-0.018896594539160882,-0.3056320744120657
-0.2841693954938824,0.017689030406220215,-0.30185842590010264
-0.27927081232118867,0.01614855373568844,-0.29541936605687713
-0.34154456132956007,0.03413330543439158,-0.37567786676395165
-0.36906659976485484,-0.057010533905734746,-0.3120560658591201
-0.32375288251720247,0.06494330680010352,-0.388696189317306
-0.3492595834249558,-0.04860023189519245,-0.3006593515297633
-0.3233008042685588,-0.004993501654872283,-0.3183073026136865
-0.34871330029321995,-0.010909204094845519,-0.3378040961983744
-0.3502402614085141,0.005530162491919476,-0.35577042390043356
-0.2903975832535707,0.049004446791800126,-0.3394020300453708
-0.2729627005144881,-0.08875381055092998,-0.18420888996355814
-0.2397619874796775,0.008144709844876011,-0.2479066973245535
-0.2707316095054764,-0.029793707579201998,-0.24093790192627443
-0.2830453265241318,0.0882806716112571,-0.3713259981353889
-0.2805067009540984,-0.034875527683727724,-0.24563117327037068
-0.3258405326139664,0.02649309574884358,-0.35233362836280996
-0.2816645270220325,-0.046224242362513615,-0.23544028465951888
-0.3437961656198319,-0.017356438766271312,-0.3264397268535606
-0.31400797981974177,-0.015472176834220723,-0.29853580298552107
-0.3659473014680586,-0.028277656375687563,-0.337669645092371
-0.2793058147493457,-0.057284302065981285,-0.2220215126833644
-0.37056322741716025,-0.046848586628976056,-0.3237146407881842
-0.3240601152268539,-0.004345120962400557,-0.3197149942644533
-0.3553791536728694,-0.01562071050075982,-0.33975844317210957
-0.2643979581705804,-0.028865074444963227,-0.2355328837256172
-0.3098714296168379,0.0124218792229602,-0.32229330883979806
-0.2656942356383631,0.012560177797003478,-0.27825441343536655
-0.36631580159271354,0.0031443441442003096,-0.3694601457369138
-0.2445581184405987,-0.018102571453716382,-0.2264555469868823
-0.3348452715603231,0.021126176118206257,-0.3559714476785294
-0.32723027158705154,-0.0019021467985724694,-0.32532812478847906
-0.28598275626954905,-0.0299160166086455,-0.25606673966090354
-0.3271990697753442,-0.006425005829047754,-0.32077406394629643
-0.31358689214329294,0.017014214340561246,-0.3306011064838542
-0.278821778729303,-0.016924626108538086,-0.26189715262076496
-0.2735021858191873,-0.03384076726374918,-0.2396614185554381
-0.315706210983204,-0.0244478265168302,-0.2912583844663738
-0.3175095564197241,0.06872415685069667,-0.3862337132704208
-0.3211248843758886,0.0852263819806848,-0.40635126635657337
-0.347586444500378,-0.035073574775220454,-0.31251286972515757
-0.295669442231887,-0.041846821166843386,-0.2538226210650436
-0.31932697154853745,-0.034151046456170536,-0.2851759250923669
-0.3369678185368956,-0.004433323969851115,-0.3325344945670445
-0.3791808264298712,-0.02866810399929088,-0.35051272243058035
-0.27466758779029476,-0.006462264278289818,-0.26820532351200493
-0.33331159133263155,0.04561334843685746,-0.378924939769489
-0.2461587325201696,0.00472787348409733,-0.25088660600426693
-0.34274961568380324,-0.014605242163215692,-0.32814437352058756
-0.28479854074122957,-0.021383738138064625,-0.26341480260316497
-0.29677082097111523,-0.03446394897029753,-0.2623068720008177
-0.2673032269614999,-0.010500688314832675,-0.2568025386466672
-0.31602683540879556,0.00532081136239943,-0.321347646771195
-0.34220028524833696,0.003125427675182041,-0.345325712923519
-0.31081041140459115,-0.026830497914343613,-0.28397991349024754
-0.3177959792984839,-0.03338733151626952,-0.2844086477822144
-0.32028571631640534,0.010063326256364325,-0.33034904257276965
-0.33712447720412786,-0.0587629829781439,-0.27836149422598394
-0.28480042698121816,0.0239810414470297,-0.30878146842824783
-0.3153967355064038,-0.03930011721117659,-0.2760966182952272
-0.30942141044505644,0.006919507672883662,-0.31634091811794013
-0.3333826198206605,0.003902937454884365,-0.3372855572755448
-0.34830996974129474,0.03808348791861764,-0.3863934576599124
-0.3158256319731167,-0.05821248454459022,-0.2576131474285265
-0.32674973339776553,-0.043694540206597986,-0.28305519319116756
-0.3332726379137788,-0.07460804313497536,-0.25866459477880344
-0.30577881962600606,0.060199681679661415,-0.36597850130566745
-0.25042570148584226,0.005957072188919298,-0.25638277367476153
-0.3929356249366523,-0.036042149579145685,-0.3568934753575066
-0.3694776639585323,-0.0024807801162090785,-0.36699688384232326
-0.2969628711852912,-0.03551579723742117,-0.26144707394787003
-0.2892693978247817,0.049394859239489136,-0.33866425706427083
-0.3345174559942253,0.010604250252424932,-0.34512170624665023
-0.3007553262930336,0.009130712486843095,-0.3098860387798767
-0.3028322527143974,-0.09642805295902572,-0.20640419975537166
-0.34681641829594123,-0.032610383678494094,-0.3142060346174471
-0.3244704505283747,0.006991374446093198,-0.3314618249744679
-0.33774284529838605,-0.022674148312743926,-0.3150686969856421
-0.2618208298915387,0.03433082765208231,-0.29615165754362105
-0.30694530975432843,0.014207506396835974,-0.3211528161511644
-0.3833654324297035,-0.005555155792270603,-0.3778102766374329
-0.3167795856744714,0.03525915643624677,-0.3520387421107182
-0.3211166090879009,-0.024784921449147866,-0.29633168763875306
-0.3605993700661105,-0.020556402193209106,-0.3400429678729014
-0.354690638963183,0.021544195753320776,-0.37623483471650376
-0.28275452881610746,0.026721392243162938,-0.3094759210592704
-0.29873327201824773,0.08095587633123837,-0.3796891483494861
-0.27762525532478566,-0.010238595211867546,-0.2673866601129181
-0.3174293176328918,-0.06663160398994529,-0.2507977136429465
-0.3388733791068265,0.02875393045560701,-0.36762730956243356
-0.33963434016881,0.0704499069074533,-0.4100842470762633
-0.30238045364775146,0.0025045870503356714,-0.30488504069808714
-0.3628480946078294,-0.016976950400046768,-0.34587114420778264
